product_id,date_id,count
0,0,267
1,0,262
2,0,262
3,0,259
4,0,165
5,0,260
6,0,195
7,0,172
8,0,230
9,0,268
10,0,198
11,0,189
12,0,195
13,0,302
14,0,327
15,0,321
16,0,327
17,0,329
18,0,323
19,0,332
20,0,298
21,0,340
22,0,184
23,0,183
24,0,288
25,0,157
26,0,166
27,0,170
28,0,184
29,0,209
30,0,210
31,0,243
32,0,189
33,0,220
34,0,204
35,0,349
36,0,308
37,0,260
38,0,241
39,0,246
40,0,296
41,0,268
42,0,169
43,0,174
44,0,357
45,0,210
46,0,221
47,0,209
48,0,228
49,0,210
0,1,167
1,1,187
2,1,166
3,1,153
4,1,138
5,1,161
6,1,167
7,1,148
8,1,171
9,1,175
10,1,153
11,1,151
12,1,180
13,1,186
14,1,185
15,1,169
16,1,153
17,1,165
18,1,177
19,1,190
20,1,181
21,1,184
22,1,162
23,1,153
24,1,189
25,1,148
26,1,147
27,1,162
28,1,143
29,1,156
30,1,161
31,1,146
32,1,173
33,1,140
34,1,167
35,1,189
36,1,188
37,1,164
38,1,177
39,1,170
40,1,196
41,1,198
42,1,170
43,1,149
44,1,189
45,1,161
46,1,171
47,1,148
48,1,137
49,1,136
0,2,128
1,2,136
2,2,138
3,2,128
4,2,137
5,2,125
6,2,134
7,2,118
8,2,108
9,2,118
10,2,137
11,2,132
12,2,153
13,2,99
14,2,112
15,2,95
16,2,110
17,2,110
18,2,109
19,2,120
20,2,95
21,2,103
22,2,123
23,2,134
24,2,113
25,2,153
26,2,146
27,2,147
28,2,127
29,2,151
30,2,135
31,2,125
32,2,155
33,2,121
34,2,123
35,2,109
36,2,102
37,2,116
38,2,148
39,2,154
40,2,103
41,2,130
42,2,126
43,2,136
44,2,93
45,2,152
46,2,120
47,2,161
48,2,123
49,2,161
0,3,145
1,3,135
2,3,158
3,3,180
4,3,173
5,3,129
6,3,144
7,3,174
8,3,148
9,3,133
10,3,133
11,3,125
12,3,138
13,3,153
14,3,131
15,3,151
16,3,141
17,3,148
18,3,156
19,3,132
20,3,157
21,3,159
22,3,134
23,3,159
24,3,160
25,3,140
26,3,142
27,3,136
28,3,145
29,3,166
30,3,161
31,3,135
32,3,161
33,3,158
34,3,159
35,3,154
36,3,152
37,3,150
38,3,155
39,3,158
40,3,164
41,3,134
42,3,150
43,3,137
44,3,155
45,3,145
46,3,168
47,3,159
48,3,178
49,3,154
0,4,154
1,4,161
2,4,161
3,4,143
4,4,121
5,4,157
6,4,138
7,4,154
8,4,168
9,4,166
10,4,129
11,4,149
12,4,146
13,4,161
14,4,146
15,4,146
16,4,168
17,4,151
18,4,147
19,4,144
20,4,115
21,4,186
22,4,159
23,4,143
24,4,147
25,4,149
26,4,136
27,4,135
28,4,161
29,4,161
30,4,153
31,4,176
32,4,157
33,4,139
34,4,138
35,4,130
36,4,142
37,4,166
38,4,150
39,4,170
40,4,152
41,4,152
42,4,170
43,4,159
44,4,128
45,4,165
46,4,151
47,4,170
48,4,143
49,4,167
0,5,165
1,5,158
2,5,135
3,5,136
4,5,133
5,5,160
6,5,148
7,5,150
8,5,149
9,5,175
10,5,167
11,5,137
12,5,131
13,5,139
14,5,147
15,5,149
16,5,150
17,5,155
18,5,179
19,5,138
20,5,182
21,5,143
22,5,160
23,5,151
24,5,156
25,5,155
26,5,162
27,5,151
28,5,134
29,5,159
30,5,153
31,5,148
32,5,139
33,5,133
34,5,120
35,5,133
36,5,134
37,5,144
